,tweet
109,honestly real fear damn corona virus
110,accept inferior look right sony even show
111,need fear constipation
112,light dip shit address last night
113,announcement good one excitement happiness
114,happy birthday even though ur alpert
115,give fear people eat meals bed
116,real talk fear abandonment joke
117,sorry people toilet paper hoard groom selfish nation ever since john
118,believe vaccine hope defense virus probably panic fear
119,fear responsible dog owners uk large strong dog trust poo bag back sell
120,doom gloom fear push stink socialism never pout
121,altogether different level sunday night fear tonight
122,outbreak make angry mfrs nasty like people corona
123,fear may possibility really feel class
124,miss much excitement talent could cinderella team years march madness
125,fear ca stand stuff
126,already imagine parent elderly scare fear feel
127,even know worse wife beater wife
128,greed selfishness genuine fear
129,lovely suggestion longer twitter sing happy birthday twice every time
130,happy aquarium
131,fear monger stupid propaganda twitter
132,ugh keisha fear
133,depend one income go hurt please start company get weeks train see
134,please consider call school year look news fear much virus online class
135,consider advance age fear think consider normal sexually mature age
136,seriously hear everyday tv need another leader
137,local media best corporate media sell fear partisan local
138,would make thread
139,bullshit fear monger piece shit
140,dad preach fear morning like fear work mind part imagination
141,drink worth fear give next day
142,goo morning moieties pretty pole say back hope magical day hope ur happy today
143,real know much right
144,really miss want share stories like use know often
145,insular behavior go cost dearly really fear love ones right
146,sociopath late fear already
147,rather everyone would corrupt president
148,stop let fear take hard right
149,rt biggest fear touch wet food sink
150,korean smile mean angry mean
151,make angry kind person think virus know political status dumb dirt
152,fever kw symptoms hair time want get recover
153,pig trap death truck head slaughterhouse eye full sadness fear
154,government make angry pugh
155,absolutely make angry ridiculous
156,selfish seem proud even happy disgust
157,imagine angry miserable
158,result shelve empty capitalism fail start worry whole mess
159,put americans extreme danger
160,good morning lovely hope also fear go worse next weeks
161,mam tabloid hype reason public elderly glue man exaggerate news create hysteria
162,fear childbirth
